Format Version,1.21,Take Name,Take 2022-02-08 06.47.42 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-08 06.47.42.720 PM,Total Frames in Take,64656,Total Exported Frames,5775,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
1058,8.816667,-0.501336,0.181084,-0.158676,-0.500357,0.152172,-0.255893,-0.497840,0.368096,-0.045869
1059,8.825000,-0.501337,0.181010,-0.158673,-0.500357,0.152186,-0.255930,-0.497837,0.368027,-0.045880
1060,8.833333,-0.501345,0.180898,-0.158651,-0.500367,0.152191,-0.255959,-0.497846,0.367948,-0.045876
1061,8.841667,-0.501341,0.180849,-0.158673,-0.500374,0.152193,-0.255980,-0.497835,0.367887,-0.045884
1062,8.850000,-0.501338,0.180795,-0.158685,-0.500361,0.152196,-0.255994,-0.497830,0.367829,-0.045913
1063,8.858333,-0.501332,0.180724,-0.158675,-0.500357,0.152185,-0.255973,-0.497834,0.367734,-0.045897
1064,8.866667,-0.501322,0.180629,-0.158684,-0.500350,0.152207,-0.256015,-0.497828,0.367633,-0.045913
1065,8.875000,-0.501319,0.180527,-0.158675,-0.500352,0.152177,-0.255960,-0.497822,0.367528,-0.045914
1066,8.883333,-0.501314,0.180424,-0.158674,-0.500344,0.152192,-0.255965,-0.497824,0.367430,-0.045926
1067,8.891667,-0.501308,0.180322,-0.158684,-0.500338,0.152193,-0.255962,-0.497819,0.367341,-0.045928
1068,8.900000,-0.501292,0.180233,-0.158719,-0.500351,0.152183,-0.255930,-0.497841,0.367231,-0.045875
1069,8.908333,-0.501293,0.180156,-0.158711,-0.500357,0.152192,-0.255938,-0.497828,0.367150,-0.045880
1070,8.916667,-0.501297,0.180073,-0.158675,-0.500355,0.152197,-0.255938,-0.497834,0.367068,-0.045826
1071,8.925000,-0.501301,0.180039,-0.158701,-0.500361,0.152190,-0.255922,-0.497847,0.367017,-0.045794
1072,8.933333,-0.501303,0.180002,-0.158701,-0.500363,0.152187,-0.255922,-0.497848,0.366965,-0.045797
1073,8.941667,-0.501309,0.179935,-0.158671,-0.500360,0.152196,-0.255940,-0.497853,0.366902,-0.045777
1074,8.950000,-0.501309,0.179865,-0.158688,-0.500368,0.152179,-0.255920,-0.497845,0.366832,-0.045779
1075,8.958333,-0.501309,0.179781,-0.158692,-0.500353,0.152194,-0.255967,-0.497834,0.366741,-0.045797
1076,8.966667,-0.501328,0.179656,-0.158673,-0.500359,0.152187,-0.255948,-0.497839,0.366640,-0.045787
1077,8.975000,-0.501317,0.179547,-0.158696,-0.500352,0.152197,-0.255971,-0.497824,0.366531,-0.045815
1078,8.983333,-0.501318,0.179426,-0.158712,-0.500352,0.152196,-0.255966,-0.497814,0.366437,-0.045862
1079,8.991667,-0.501322,0.179275,-0.158708,-0.500350,0.152193,-0.255971,-0.497806,0.366329,-0.045888
1080,9.000000,-0.501320,0.179185,-0.158718,-0.500351,0.152188,-0.255956,-0.497800,0.366257,-0.045945
1081,9.008333,-0.501320,0.179107,-0.158707,-0.500349,0.152196,-0.255978,-0.497812,0.366150,-0.045904
1082,9.016667,-0.501323,0.179024,-0.158673,-0.500355,0.152191,-0.255969,-0.497814,0.366066,-0.045923
1083,9.025000,-0.501317,0.178968,-0.158680,-0.500352,0.152191,-0.255967,-0.497817,0.366015,-0.045925
1084,9.033333,-0.501316,0.178908,-0.158656,-0.500357,0.152179,-0.255940,-0.497829,0.365929,-0.045869
1085,9.041667,-0.501311,0.178856,-0.158653,-0.500358,0.152188,-0.255950,-0.497828,0.365888,-0.045893
1086,9.050000,-0.501316,0.178797,-0.158647,-0.500359,0.152175,-0.255929,-0.497834,0.365807,-0.045834
1087,9.058333,-0.501314,0.178694,-0.158596,-0.500357,0.152197,-0.255954,-0.497843,0.365723,-0.045818
