Format Version,1.21,Take Name,zzz10,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-25 09.11.19.842 PM,Total Frames in Take,10525,Total Exported Frames,10525,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.280033,0.231936,0.382618,-0.278465,0.017615,0.252837,-0.266662,-0.011110,0.217954,-0.264319,0.008341,0.163029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.280031,0.231937,0.382621,-0.278462,0.017618,0.252846,-0.266672,-0.011101,0.217942,-0.264328,0.008345,0.163024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.280034,0.231936,0.382622,-0.278465,0.017614,0.252848,-0.266666,-0.011110,0.217953,-0.264320,0.008335,0.163035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.280031,0.231936,0.382615,-0.278467,0.017619,0.252848,-0.266665,-0.011109,0.217947,-0.264326,0.008352,0.163016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.280028,0.231939,0.382620,-0.278459,0.017613,0.252854,-0.266667,-0.011108,0.217946,-0.264318,0.008336,0.163031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.280038,0.231938,0.382617,-0.278462,0.017617,0.252843,-0.266672,-0.011105,0.217945,-0.264323,0.008338,0.163033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.280024,0.231937,0.382624,-0.278462,0.017619,0.252838,-0.266669,-0.011105,0.217942,-0.264322,0.008344,0.163022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.280033,0.231933,0.382629,-0.278453,0.017613,0.252846,-0.266670,-0.011105,0.217945,-0.264330,0.008341,0.163030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.280030,0.231932,0.382624,-0.278469,0.017627,0.252831,-0.266663,-0.011110,0.217945,-0.264328,0.008343,0.163025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.280025,0.231934,0.382620,-0.278453,0.017607,0.252849,-0.266665,-0.011112,0.217942,-0.264312,0.008337,0.163028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.280033,0.231935,0.382626,-0.278456,0.017614,0.252841,-0.266665,-0.011107,0.217950,-0.264324,0.008336,0.163027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.280039,0.231935,0.382616,-0.278463,0.017609,0.252845,-0.266667,-0.011104,0.217945,-0.264318,0.008342,0.163027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.280031,0.231939,0.382612,-0.278454,0.017614,0.252844,-0.266663,-0.011104,0.217946,-0.264317,0.008338,0.163031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.280032,0.231931,0.382625,-0.278460,0.017613,0.252844,-0.266665,-0.011107,0.217945,-0.264318,0.008343,0.163026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.280027,0.231937,0.382610,-0.278458,0.017619,0.252840,-0.266662,-0.011109,0.217939,-0.264317,0.008342,0.163024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.280037,0.231940,0.382616,-0.278458,0.017615,0.252841,-0.266663,-0.011107,0.217942,-0.264318,0.008336,0.163037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.280027,0.231936,0.382630,-0.278460,0.017613,0.252846,-0.266674,-0.011103,0.217935,-0.264318,0.008339,0.163034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.280034,0.231937,0.382622,-0.278457,0.017612,0.252852,-0.266676,-0.011095,0.217938,-0.264320,0.008342,0.163028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.280029,0.231938,0.382626,-0.278465,0.017617,0.252843,-0.266661,-0.011107,0.217956,-0.264325,0.008344,0.163027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.280032,0.231939,0.382619,-0.278465,0.017615,0.252844,-0.266663,-0.011106,0.217950,-0.264327,0.008344,0.163027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.280031,0.231941,0.382616,-0.278457,0.017615,0.252844,-0.266662,-0.011111,0.217960,-0.264318,0.008338,0.163030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.280039,0.231937,0.382623,-0.278454,0.017616,0.252849,-0.266663,-0.011108,0.217945,-0.264324,0.008340,0.163038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.280028,0.231934,0.382621,-0.278461,0.017616,0.252850,-0.266662,-0.011112,0.217958,-0.264325,0.008344,0.163021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.280039,0.231939,0.382616,-0.278458,0.017614,0.252845,-0.266669,-0.011109,0.217946,-0.264318,0.008332,0.163041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
