Format Version,1.21,Take Name,zzz70,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-25 09.17.13.611 PM,Total Frames in Take,10941,Total Exported Frames,10941,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.279983,0.230706,0.382631,-0.278571,0.017153,0.253148,-0.266802,-0.011006,0.218132,-0.264406,0.008460,0.162983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.279985,0.230706,0.382628,-0.278569,0.017154,0.253150,-0.266799,-0.011006,0.218140,-0.264408,0.008458,0.162981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.279981,0.230705,0.382633,-0.278563,0.017147,0.253157,-0.266810,-0.011006,0.218136,-0.264407,0.008460,0.162977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.279983,0.230697,0.382634,-0.278571,0.017144,0.253155,-0.266804,-0.011007,0.218132,-0.264401,0.008452,0.162992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.279989,0.230708,0.382624,-0.278567,0.017144,0.253156,-0.266806,-0.011002,0.218127,-0.264403,0.008456,0.162986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.279988,0.230705,0.382630,-0.278567,0.017145,0.253161,-0.266801,-0.011011,0.218139,-0.264424,0.008463,0.162988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.279984,0.230709,0.382627,-0.278567,0.017152,0.253154,-0.266801,-0.011010,0.218149,-0.264403,0.008456,0.162985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.279990,0.230710,0.382625,-0.278566,0.017148,0.253158,-0.266800,-0.011004,0.218133,-0.264421,0.008463,0.162987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.279986,0.230706,0.382632,-0.278568,0.017149,0.253155,-0.266805,-0.011004,0.218137,-0.264429,0.008469,0.162978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.279980,0.230709,0.382634,-0.278564,0.017147,0.253163,-0.266800,-0.011006,0.218137,-0.264419,0.008473,0.162985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.279984,0.230709,0.382636,-0.278571,0.017151,0.253157,-0.266791,-0.011012,0.218156,-0.264403,0.008456,0.162993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.279990,0.230710,0.382635,-0.278565,0.017147,0.253156,-0.266802,-0.011005,0.218138,-0.264420,0.008465,0.162987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.279980,0.230708,0.382646,-0.278565,0.017152,0.253157,-0.266795,-0.011015,0.218151,-0.264421,0.008465,0.162992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.279985,0.230714,0.382635,-0.278566,0.017151,0.253165,-0.266806,-0.010994,0.218136,-0.264408,0.008462,0.162992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.279987,0.230712,0.382639,-0.278568,0.017152,0.253163,-0.266807,-0.011007,0.218132,-0.264422,0.008465,0.162991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.279987,0.230714,0.382636,-0.278573,0.017152,0.253158,-0.266799,-0.011003,0.218135,-0.264418,0.008462,0.162999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.279989,0.230712,0.382631,-0.278571,0.017154,0.253153,-0.266802,-0.011007,0.218140,-0.264439,0.008471,0.162977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.279989,0.230712,0.382625,-0.278572,0.017153,0.253150,-0.266806,-0.011005,0.218130,-0.264422,0.008466,0.162991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.279986,0.230713,0.382624,-0.278568,0.017146,0.253165,-0.266807,-0.011005,0.218138,-0.264425,0.008464,0.162995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.279982,0.230713,0.382632,-0.278571,0.017150,0.253159,-0.266804,-0.010999,0.218136,-0.264428,0.008465,0.162983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.279981,0.230711,0.382634,-0.278573,0.017161,0.253150,-0.266806,-0.010999,0.218131,-0.264420,0.008469,0.162991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.279989,0.230711,0.382625,-0.278567,0.017149,0.253158,-0.266805,-0.011008,0.218141,-0.264406,0.008456,0.162989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.279988,0.230710,0.382625,-0.278571,0.017155,0.253151,-0.266811,-0.010997,0.218132,-0.264420,0.008468,0.162983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.279985,0.230716,0.382633,-0.278569,0.017154,0.253165,-0.266800,-0.011005,0.218137,-0.264423,0.008463,0.162985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-0.279980,0.230710,0.382634,-0.278567,0.017145,0.253164,-0.266802,-0.011003,0.218143,-0.264413,0.008468,0.162976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-0.279985,0.230718,0.382630,-0.278573,0.017150,0.253169,-0.266803,-0.011006,0.218138,-0.264407,0.008458,0.162994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
