Format Version,1.21,Take Name,zzz40,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-25 09.02.59.216 PM,Total Frames in Take,10173,Total Exported Frames,10173,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.280062,0.229524,0.382380,-0.278715,0.016372,0.253148,-0.266625,-0.011777,0.218014,-0.264307,0.007945,0.163213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.280075,0.229523,0.382370,-0.278720,0.016375,0.253145,-0.266629,-0.011778,0.218018,-0.264304,0.007952,0.163216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.280076,0.229522,0.382379,-0.278722,0.016371,0.253153,-0.266631,-0.011781,0.218007,-0.264312,0.007946,0.163205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.280070,0.229524,0.382374,-0.278722,0.016368,0.253151,-0.266632,-0.011779,0.218011,-0.264298,0.007943,0.163228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.280072,0.229523,0.382381,-0.278723,0.016365,0.253152,-0.266635,-0.011771,0.218006,-0.264308,0.007943,0.163220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.280074,0.229526,0.382377,-0.278720,0.016373,0.253142,-0.266623,-0.011779,0.218021,-0.264305,0.007940,0.163214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.280071,0.229529,0.382384,-0.278716,0.016369,0.253142,-0.266632,-0.011774,0.218011,-0.264301,0.007939,0.163217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.280073,0.229529,0.382383,-0.278720,0.016369,0.253147,-0.266633,-0.011778,0.218015,-0.264305,0.007937,0.163222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.280071,0.229527,0.382382,-0.278718,0.016366,0.253149,-0.266626,-0.011788,0.218020,-0.264306,0.007942,0.163217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.280069,0.229523,0.382382,-0.278719,0.016371,0.253148,-0.266634,-0.011776,0.218009,-0.264302,0.007935,0.163229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.280072,0.229523,0.382382,-0.278716,0.016367,0.253152,-0.266640,-0.011773,0.217998,-0.264307,0.007942,0.163217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.280071,0.229524,0.382382,-0.278721,0.016370,0.253146,-0.266633,-0.011777,0.218015,-0.264300,0.007944,0.163215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.280071,0.229529,0.382385,-0.278718,0.016369,0.253148,-0.266636,-0.011780,0.218011,-0.264301,0.007941,0.163217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.280066,0.229524,0.382386,-0.278719,0.016373,0.253146,-0.266632,-0.011776,0.218010,-0.264306,0.007941,0.163219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.280070,0.229527,0.382380,-0.278722,0.016368,0.253148,-0.266636,-0.011778,0.218007,-0.264308,0.007948,0.163210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.280076,0.229529,0.382378,-0.278715,0.016370,0.253153,-0.266629,-0.011770,0.218011,-0.264300,0.007942,0.163221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.280080,0.229532,0.382382,-0.278723,0.016368,0.253152,-0.266635,-0.011780,0.218008,-0.264304,0.007939,0.163218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.280069,0.229528,0.382384,-0.278718,0.016364,0.253153,-0.266628,-0.011783,0.218018,-0.264304,0.007941,0.163221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.280076,0.229529,0.382378,-0.278713,0.016363,0.253152,-0.266627,-0.011779,0.218009,-0.264304,0.007941,0.163213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.280067,0.229525,0.382388,-0.278720,0.016370,0.253144,-0.266631,-0.011775,0.218008,-0.264304,0.007942,0.163225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.280075,0.229525,0.382385,-0.278722,0.016369,0.253148,-0.266628,-0.011781,0.218010,-0.264310,0.007939,0.163215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.280070,0.229530,0.382383,-0.278719,0.016367,0.253147,-0.266632,-0.011777,0.218012,-0.264306,0.007946,0.163210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.280068,0.229520,0.382390,-0.278723,0.016369,0.253149,-0.266629,-0.011778,0.218004,-0.264297,0.007938,0.163229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.280066,0.229528,0.382389,-0.278714,0.016369,0.253148,-0.266627,-0.011777,0.218008,-0.264305,0.007940,0.163217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
