,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:175,Unlabeled:175,Unlabeled:175,Unlabeled:177,Unlabeled:177,Unlabeled:177,Unlabeled:179,Unlabeled:179,Unlabeled:179,Unlabeled:180,Unlabeled:180,Unlabeled:180,Unlabeled:186,Unlabeled:186,Unlabeled:186,Unlabeled:191,Unlabeled:191,Unlabeled:191,Unlabeled:197,Unlabeled:197,Unlabeled:197
,,8392B20CF49E357064,8392B20CF49E357064,8392B20CF49E357064,8392B20CF49E357065,8392B20CF49E357065,8392B20CF49E357065,8392B20CF49E357066,8392B20CF49E357066,8392B20CF49E357066,8392B20CF49E357067,8392B20CF49E357067,8392B20CF49E357067,8392B20CF49E3570AF,8392B20CF49E3570AF,8392B20CF49E3570AF,8392B20CF49E3570B1,8392B20CF49E3570B1,8392B20CF49E3570B1,8392B20CF49E3570B3,8392B20CF49E3570B3,8392B20CF49E3570B3,8392B20CF49E3570B4,8392B20CF49E3570B4,8392B20CF49E3570B4,8392B20CF49E3570BA,8392B20CF49E3570BA,8392B20CF49E3570BA,8392B20CF49E3570BF,8392B20CF49E3570BF,8392B20CF49E3570BF,8392B20CF49E3570C5,8392B20CF49E3570C5,8392B20CF49E3570C5
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.175,-0.280101,0.231097,0.382168,-0.278533,0.016673,0.252163,-0.266369,-0.012512,0.216973,-0.264193,0.007511,0.163405,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.280097,0.231097,0.382167,-0.278532,0.016671,0.252166,-0.26638,-0.012502,0.216972,-0.264189,0.007513,0.163403,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.280094,0.231096,0.38217,-0.278534,0.016675,0.252158,-0.266379,-0.012511,0.216966,-0.264169,0.007501,0.163415,,,,,,,,,,,,,,,,,,,,,
24,0.2,-0.280094,0.231099,0.38216,-0.278537,0.016675,0.252156,-0.266381,-0.012506,0.21697,-0.264186,0.007515,0.163403,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.280099,0.231096,0.382168,-0.278538,0.016675,0.252154,-0.266383,-0.012506,0.21697,-0.264184,0.007505,0.163407,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.280104,0.231096,0.382151,-0.278534,0.016668,0.252161,-0.266365,-0.012508,0.216974,-0.264187,0.007512,0.163408,,,,,,,,,,,,,,,,,,,,,
27,0.225,-0.280096,0.231097,0.382165,-0.278535,0.01667,0.252166,-0.266378,-0.012504,0.216973,-0.264188,0.007511,0.163406,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.280099,0.231095,0.382165,-0.278535,0.016668,0.252161,-0.266394,-0.012507,0.216951,-0.264174,0.007504,0.163417,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.280102,0.231097,0.382165,-0.278528,0.01667,0.252162,-0.26638,-0.012516,0.216959,-0.264167,0.007499,0.163426,,,,,,,,,,,,,,,,,,,,,
30,0.25,-0.280101,0.231097,0.382155,-0.278537,0.016673,0.252157,-0.266381,-0.012511,0.21696,-0.264179,0.007503,0.163413,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-0.280097,0.231094,0.382176,-0.278533,0.016668,0.252158,-0.26638,-0.012509,0.216956,-0.264177,0.007502,0.163417,,,,,,,,,,,,,,,,,,,,,
