Format Version,1.21,Take Name,Take 2022-02-12 01.06.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-12 01.06.29.074 PM,Total Frames in Take,4575,Total Exported Frames,4575,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:681,Unlabeled:681,Unlabeled:681,Unlabeled:683,Unlabeled:683,Unlabeled:683
,,"8392B20CF49E35702A9","8392B20CF49E35702A9","8392B20CF49E35702A9","8392B20CF49E35702AB","8392B20CF49E35702AB","8392B20CF49E35702AB"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
71,0.591667,-0.395715,-0.017594,0.426688,-0.586379,0.196809,0.300251
72,0.600000,-0.395712,-0.017600,0.426689,-0.586396,0.196801,0.300254
73,0.608333,-0.395723,-0.017601,0.426692,-0.586390,0.196803,0.300255
74,0.616667,-0.395707,-0.017593,0.426691,-0.586387,0.196806,0.300254
75,0.625000,-0.395729,-0.017614,0.426688,-0.586373,0.196812,0.300253
76,0.633333,-0.395740,-0.017617,0.426696,-0.586390,0.196800,0.300260
77,0.641667,-0.395728,-0.017613,0.426691,-0.586383,0.196803,0.300256
78,0.650000,-0.395718,-0.017610,0.426693,-0.586370,0.196810,0.300253
79,0.658333,-0.395726,-0.017612,0.426695,-0.586363,0.196814,0.300256
80,0.666667,-0.395690,-0.017587,0.426694,-0.586383,0.196807,0.300257
81,0.675000,-0.395730,-0.017612,0.426690,-0.586391,0.196807,0.300248
82,0.683333,-0.395701,-0.017596,0.426691,-0.586369,0.196818,0.300255
83,0.691667,-0.395735,-0.017606,0.426691,-0.586388,0.196810,0.300256
84,0.700000,-0.395717,-0.017598,0.426688,-0.586401,0.196801,0.300254
85,0.708333,-0.395725,-0.017597,0.426693,-0.586379,0.196813,0.300256
86,0.716667,-0.395732,-0.017605,0.426693,-0.586391,0.196803,0.300258
87,0.725000,-0.395724,-0.017605,0.426697,-0.586379,0.196811,0.300254
88,0.733333,-0.395717,-0.017603,0.426691,-0.586401,0.196803,0.300255
89,0.741667,-0.395719,-0.017605,0.426691,-0.586399,0.196799,0.300256
90,0.750000,-0.395716,-0.017615,0.426689,-0.586384,0.196804,0.300261
91,0.758333,-0.395729,-0.017619,0.426693,-0.586380,0.196805,0.300254
92,0.766667,-0.395718,-0.017609,0.426690,-0.586383,0.196809,0.300259
93,0.775000,-0.395734,-0.017612,0.426698,-0.586377,0.196805,0.300256
94,0.783333,-0.395720,-0.017608,0.426693,-0.586385,0.196803,0.300259
95,0.791667,-0.395736,-0.017618,0.426690,-0.586414,0.196802,0.300260
96,0.800000,-0.395705,-0.017599,0.426688,-0.586388,0.196807,0.300261
97,0.808333,-0.395721,-0.017597,0.426693,-0.586398,0.196803,0.300249
98,0.816667,-0.395715,-0.017599,0.426687,-0.586379,0.196805,0.300252
99,0.825000,-0.395720,-0.017603,0.426684,-0.586373,0.196808,0.300251
100,0.833333,-0.395737,-0.017610,0.426694,-0.586387,0.196807,0.300251
101,0.841667,-0.395726,-0.017609,0.426691,-0.586401,0.196805,0.300253
102,0.850000,-0.395740,-0.017616,0.426688,-0.586405,0.196800,0.300260
103,0.858333,-0.395733,-0.017608,0.426685,-0.586375,0.196811,0.300254
104,0.866667,-0.395732,-0.017612,0.426699,-0.586366,0.196811,0.300256
105,0.875000,-0.395714,-0.017599,0.426691,-0.586376,0.196813,0.300260
106,0.883333,-0.395721,-0.017609,0.426691,-0.586392,0.196801,0.300252
107,0.891667,-0.395733,-0.017606,0.426695,-0.586355,0.196816,0.300260
108,0.900000,-0.395722,-0.017604,0.426692,-0.586357,0.196810,0.300255
109,0.908333,-0.395728,-0.017609,0.426692,-0.586392,0.196805,0.300259
110,0.916667,-0.395702,-0.017598,0.426686,-0.586351,0.196805,0.300252
111,0.925000,-0.395698,-0.017597,0.426691,-0.586379,0.196804,0.300261
112,0.933333,-0.395728,-0.017608,0.426683,-0.586392,0.196802,0.300257
113,0.941667,-0.395764,-0.017621,0.426699,-0.586390,0.196803,0.300253
114,0.950000,-0.395734,-0.017600,0.426693,-0.586410,0.196802,0.300258
115,0.958333,-0.395749,-0.017609,0.426688,-0.586380,0.196809,0.300256
116,0.966667,-0.395755,-0.017620,0.426691,-0.586403,0.196803,0.300251
117,0.975000,-0.395737,-0.017611,0.426697,-0.586359,0.196813,0.300256
118,0.983333,-0.395732,-0.017604,0.426688,-0.586391,0.196803,0.300262
119,0.991667,-0.395710,-0.017601,0.426694,-0.586378,0.196807,0.300258
120,1.000000,-0.395728,-0.017613,0.426698,-0.586401,0.196801,0.300265
121,1.008333,-0.395732,-0.017613,0.426692,-0.586388,0.196801,0.300259
122,1.016667,-0.395771,-0.017629,0.426700,-0.586398,0.196794,0.300261
123,1.025000,-0.395724,-0.017606,0.426691,-0.586350,0.196805,0.300261
124,1.033333,-0.395726,-0.017612,0.426694,-0.586371,0.196811,0.300254
125,1.041667,-0.395700,-0.017593,0.426690,-0.586371,0.196805,0.300253
126,1.050000,-0.395748,-0.017618,0.426694,-0.586350,0.196810,0.300251
127,1.058333,-0.395719,-0.017606,0.426680,-0.586414,0.196795,0.300259
128,1.066667,-0.395731,-0.017614,0.426691,-0.586393,0.196799,0.300254
129,1.075000,-0.395741,-0.017612,0.426699,-0.586408,0.196801,0.300258
130,1.083333,-0.395758,-0.017622,0.426692,-0.586342,0.196811,0.300253
131,1.091667,-0.395728,-0.017603,0.426697,-0.586386,0.196805,0.300262
132,1.100000,-0.395737,-0.017612,0.426697,-0.586374,0.196810,0.300259
133,1.108333,-0.395719,-0.017599,0.426686,-0.586399,0.196804,0.300258
134,1.116667,-0.395742,-0.017620,0.426693,-0.586374,0.196811,0.300256
135,1.125000,-0.395748,-0.017612,0.426697,-0.586395,0.196800,0.300262
136,1.133333,-0.395720,-0.017601,0.426690,-0.586390,0.196799,0.300255
137,1.141667,-0.395688,-0.017593,0.426695,-0.586395,0.196800,0.300261
138,1.150000,-0.395734,-0.017612,0.426688,-0.586344,0.196807,0.300255
139,1.158333,-0.395741,-0.017621,0.426688,-0.586382,0.196804,0.300255
140,1.166667,-0.395703,-0.017596,0.426691,-0.586374,0.196800,0.300252
141,1.175000,-0.395742,-0.017616,0.426691,-0.586393,0.196803,0.300261
142,1.183333,-0.395732,-0.017613,0.426691,-0.586408,0.196796,0.300257
143,1.191667,-0.395704,-0.017600,0.426689,-0.586368,0.196815,0.300255
144,1.200000,-0.395736,-0.017607,0.426690,-0.586408,0.196793,0.300261
145,1.208333,-0.395733,-0.017610,0.426693,-0.586376,0.196809,0.300255
146,1.216667,-0.395723,-0.017601,0.426691,-0.586339,0.196820,0.300254
147,1.225000,-0.395716,-0.017610,0.426689,-0.586402,0.196799,0.300256
148,1.233333,-0.395712,-0.017608,0.426693,-0.586383,0.196802,0.300254
149,1.241667,-0.395714,-0.017596,0.426691,-0.586360,0.196809,0.300260
150,1.250000,-0.395734,-0.017618,0.426689,-0.586394,0.196799,0.300259
151,1.258333,-0.395702,-0.017597,0.426690,-0.586372,0.196802,0.300250
152,1.266667,-0.395690,-0.017592,0.426693,-0.586376,0.196804,0.300258
153,1.275000,-0.395687,-0.017590,0.426692,-0.586386,0.196802,0.300258
154,1.283333,-0.395748,-0.017616,0.426696,-0.586385,0.196810,0.300253
155,1.291667,-0.395728,-0.017611,0.426685,-0.586362,0.196809,0.300253
156,1.300000,-0.395730,-0.017607,0.426695,-0.586364,0.196812,0.300260
157,1.308333,-0.395689,-0.017596,0.426686,-0.586388,0.196810,0.300258
158,1.316667,-0.395723,-0.017603,0.426692,-0.586375,0.196808,0.300257
159,1.325000,-0.395724,-0.017611,0.426695,-0.586376,0.196805,0.300253
160,1.333333,-0.395718,-0.017605,0.426692,-0.586384,0.196804,0.300260
161,1.341667,-0.395721,-0.017605,0.426693,-0.586394,0.196803,0.300257
162,1.350000,-0.395748,-0.017618,0.426694,-0.586420,0.196792,0.300254
163,1.358333,-0.395707,-0.017599,0.426694,-0.586343,0.196809,0.300258
164,1.366667,-0.395724,-0.017603,0.426694,-0.586371,0.196812,0.300256
165,1.375000,-0.395699,-0.017597,0.426692,-0.586415,0.196794,0.300262
166,1.383333,-0.395726,-0.017606,0.426691,-0.586367,0.196813,0.300258
167,1.391667,-0.395733,-0.017616,0.426694,-0.586372,0.196803,0.300257
168,1.400000,-0.395709,-0.017597,0.426689,-0.586372,0.196808,0.300260
169,1.408333,-0.395711,-0.017608,0.426682,-0.586380,0.196808,0.300258
170,1.416667,-0.395737,-0.017616,0.426693,-0.586400,0.196801,0.300263
171,1.425000,-0.395722,-0.017603,0.426694,-0.586400,0.196796,0.300260
172,1.433333,-0.395734,-0.017605,0.426698,-0.586347,0.196821,0.300261
173,1.441667,-0.395734,-0.017611,0.426693,-0.586408,0.196799,0.300257
174,1.450000,-0.395718,-0.017599,0.426698,-0.586385,0.196808,0.300255
175,1.458333,-0.395741,-0.017612,0.426696,-0.586397,0.196803,0.300263
176,1.466667,-0.395704,-0.017598,0.426691,-0.586387,0.196801,0.300256
177,1.475000,-0.395701,-0.017602,0.426686,-0.586392,0.196798,0.300258
178,1.483333,-0.395713,-0.017599,0.426694,-0.586376,0.196807,0.300260
179,1.491667,-0.395731,-0.017611,0.426690,-0.586367,0.196809,0.300261
180,1.500000,-0.395722,-0.017599,0.426701,-0.586373,0.196811,0.300261
